predicted_answer,actual_answer,사고원인,인적사고
"안전 교육 강화와 지속적인 안전 점검 실시를 통해 작업자의 부주의를 방지하고, 안전 장비 착용 의무화 및 작업 전 안전 회의 의무화로 사고 예방에 나설 계획입니다.",안전교육 강화를 통한 건축물 현장대리인 및 관련자에게 안전조치 주의 요청.,작업자의 부주의로 인한 사고 발생,떨어짐(2미터 미만)
"정기적인 장비 점검 강화 및 안전 테스트 의무화, 오거 가이드 볼트의 내구성 향상 및 교체 주기 단축, 향후 유사 사고 예방을 위한 안전 교육 강화 및 현장 감독 체계 개선.",항타장비 정비 및 관계자와의 연락체계 유지와 환자 상태 지속적 파악을 통한 재발 방지 대책.,항타장비 상부오거 가이드볼트  파열,물체에 맞음
추락방지망 해체 시 안전한 이동 경로 확보 및 작업자 안전 교육 강화.,토사바닥면 평탄화 작업 실시와 재발 방지 대책 이행 철저.,2022년 12월29일 09시 00분경 (주)세이프티원 소속 재해자가 지하4층 b존에서 추락방지망을 해체 후 이동하던중 발목을 접지르며 통증을 호소 작업중단 후 인근 병원에 내원하여 진료를 받은 사실을 보고 함.,넘어짐(미끄러짐)
"안전 교육 강화와 파이프 사용 시 안전 지침 준수 의무화, 정기적인 안전 점검 실시.","중량물 취급 작업 시 양중장비를 사용하여 부재를 설치 위치로 운반하고, 현장 작업 시 사전 안전교육 및 안전관리를 철저히 실시하는 방안.",테이블폼 레일 설치작업을 위해 보 상부에서 파이프를 지렛대로 사용하여 레일을 세우던 중 중심을 읽고 1.5m 하부로 떨어짐,떨어짐(2미터 미만)
"안전 교육 강화와 정기적인 작업 현장 점검 실시로 재발 방지 대책을 마련하고, 보호장구 착용 의무화 및 안전 발판 설치를 통해 향후 조치 계획을 수립합니다.","재발 방지를 위한 대책 마련으로 사업주가 효과적인 안전보건관리체계를 구축하고 이행하며, 현장소장이 위험요인을 확인하고 개선하는 계획 수립 및 실행을 통해 근로자에게 위험성 평가 교육을 실시하는 체계적 관리와 지원이 이루어짐.",발을 헛딛어 떨어짐,떨어짐(2미터 미만)
"안전 교육 강화 및 개인 보호장구 착용 의무화를 통해 재발 방지를 도모하고, 정기적인 안전 점검을 실시하여 위험 요소를 사전에 제거합니다.","팀원 자체 TBM 강화, 순찰 강화, 단체 SNS 공지 및 자체 안전점검 실시와 재발 방지를 위한 대책 수립.",2023.6.25. 11시30분 경 신축공사 현장의 지하2층 내부에서 작업자가 계단 거푸집 작업중 합판을 재단하기 위해 전기스킬(원형톱)을 사용하던 중 걸림현상으로 스킬 조작 중 톱날이 튀어 오른쪽 약지가 베임,"절단, 베임"
"알폼 슬라브 표면의 박리제 도포량을 엄격히 관리하고, 작업자들에게 미끄럼 위험 인식 교육을 강화하며, 미끄럼 방지 장비 착용 의무화를 시행합니다. 또한, 정기적인 안전 점검을 통해 위험 구간을 신속히 식별하고 개선하며, 사고 발생 시 즉시 대응 프로토콜을 확립하여 신속한 조치를 취하도록 합니다.","알폼 박리제 적정량 도포, 작업장 정리정돈 철저, CD관 등으로 철근 찔림 방지 조치 시행.",알폼 슬라브 박리제 도포로 인한 미끄럼 구간 발생,넘어짐(미끄러짐)
정기적인 의사소통 훈련 실시와 현장 감독 강화를 통해 실시간 협업 체계 구축.,작업 시 안전인식 제고 및 현장의 철저한 안전관리 지시 요청.,작업자간 의사소통 미비로 인한 사고,끼임
불규칙한 돌들을 제거하고 통로를 평탄하게 정비하여 안전한 이동 경로 확보. 정기적인 통로 점검과 위험 요소 사전 제거를 위한 점검 시스템 구축.,작업자의 이동 동선에 자갈 제거 및 되메우기를 시행하여 평탄하게 조성한 후 안전사고 예방에 만전을 기하는 조치.,좁은 통로에 철망 작업으로 떨어진 돌들이 불규칙하게 깔려있는 불안전한 상태에서 앙카를 운반하던 ㅈ우 돌을 밟아 중심을 잃고 뒤로 넘어짐,넘어짐(미끄러짐)
안전대 착용 의무화 및 정기적인 안전장비 점검 실시.,"외부 비계에서 작업 시 안전대 등 개인보호구 착용 철저, 수직보호망 등 추락방지시설 설치 강화, 작업 시작 전 안전작업수칙 교육 실시와 시공사 재발방지계획서 및 안전점검 실시 조치의 이행.",외부 비계에서 거푸집 조립작업을 할때에는 안전대를 착용하고 안전난간대 등의 안전대 부착설비에 고정해야 하나 사고발생 당시 안전대를 착용하지 않고 작업을 진행하여 떨어짐 사고 발생,떨어짐(2미터 미만)
안전 바닥 처리 강화 및 정기적인 현장 점검 실시.,콘크리트 컷팅을 통한 미끄럼사고 방지와 안전교육 및 추후 미끄럼 방지대책 실시.,미끄러짐,넘어짐(미끄러짐)
"작업자 안전 교육 강화와 현장 안전 점검을 정기적으로 실시하여 위험 요소를 사전에 식별하고 제거하며, 안전 장비 착용 의무화를 통해 재발 방지 대책을 마련합니다.",작업자 교육 및 2인1조 작업으로의 개편.,기초 콘크리트 끝단부에서 갑자기 몸의 중심을 잃어 왼쪽다리로 몸을 지탱하려 법면에 발을 디디는 순간 돌이 무너지며 몸의 회전하여 오른쪽 무릎을 법면에 충돌하였다고 진술함(목격자 없음),넘어짐(미끄러짐)
"공사구역 내 인원 통제 강화 및 구역별 작업 통신 체계 구축, 정기적인 안전 교육 실시와 함께 작업 간 소통 체계 개선을 위한 훈련 강화.","작업자 간 원활한 소통을 위한 적절한 신호수 배치 및 작업구간 인근 이중작업 금지 조치와 함께, 사고조사 내역을 시공사에 전달하여 재발 방지를 위한 대책 수립 및 안전조치 철저를 통보함.","기초 콘크리트 타설작업시 신호수를 배치하였으나, 공사구역 내 인원통제 미흡 및 작업구간 인근 이중작업으로 인하여 전도된 펜스를 세우는 작업자와 반대편 기초콘크리트 타설작업자 간의 소통 및 인식이 부족하였음",물체에 맞음
"재발 방지를 위해 작업 경로 상의 결빙 구간을 정기적으로 점검하고, 필요시 즉시 보온 조치를 취하며, 작업자들에게 안전 교육을 강화하여 위험 인식을 높입니다. 향후 조치로는 자동 감지 시스템 도입과 함께 정기적인 안전 점검 일정을 엄격히 준수하도록 합니다.","결빙구간 제거와 관리자 사전 확인, 근로자 안전교육 및 현장관리 철저, 상습 결빙구간 미끄러짐 주의 표지 게시 등의 조치 계획.",작업경로 내 결빙구간 관리 미흡,넘어짐(미끄러짐)
"작업자 대상 안전 교육 강화 및 올바른 양중 방법 교육 실시, 감독자의 현장 상주 감독 강화, 작업 전 안전 점검 절차 엄격히 시행.","장비 이용 H-BEAM 인양 시 안전하카와 와이어 2중 고정을 통해 인양을 실시하고, 작업 절차를 통일화하여 근로자들에게 특별안전교육을 실시하며, 가시설띠장 설치 전담 신호수를 지정하여 타 작업자 통제 조치를 시행하는 계획.",장비 이용 H-BEAM 인양 중 올바르지 않은 인양 방법으로 인한 유동 발생으로 근로자 부딪힘 발생,부딪힘
"안전 교육 강화와 작업 절차 개선을 통해 작업자 간의 명확한 역할 분담과 안전 장비 사용 의무화를 시행합니다. 또한, 작업 중 안전 감독 강화를 통해 위험 요소를 실시간으로 감지하고 대응할 수 있도록 합니다.","근로자 안전의식 고취를 위한 특별안전교육 실시, 보안경 착용 철저, 고정핀 재질 교체(플라스틱 재질) 등과 부상자 경과 예의 주시 및 시공사, 감리단에 재발방지 대책 교육 지시가 포함된 조치 계획.",2인 1조로 거실 천장 먹줄 작업 중 작업자 1인이 먹줄의 고정못을 놓치면서 고정목이 다른 작업자의 안구를 타격,기타
작업 절차 준수 강화 교육 실시와 안전 점검 시스템 도입을 통한 절차 위반 감시 강화 계획 수립.,"형틀제작 작업 전 안전작업 절차 안전교육 실시, 작업자가 안전하게 작업토록 관리감독자가 상주하며 안전 작업 감독, 작업 전후 거푸집을 규격별로 적재하여 선별이 용이하도록 정리 실시.",상부에 적재된 자재를 옮기고 작업해야 하는 작업 절차가 있음에도 작업자가 이를 준수하지 않고 중간에 양 손을 넣어 자재를 꺼내려다 사고 발생,끼임
"작업 전 안전 교육 강화 및 단차 확인 절차 마련, 롤러 운행 시 안전 거리 확보 지침 엄격히 시행.","안전난간 설치, 신호수 배치 및 사고 방지를 위한 안전교육 실시.",1톤 롤러로 바닥 다짐 작업 중 후진 시 단차부위를 확인을 못해 추락,떨어짐(2미터 이상 ~ 3미터 미만)
안전 교육 강화 및 보안경 착용 의무화 조치 시행.,보안경 착용상태에 대한 철저한 점검 및 관리감독.,보안경 미착용,넘어짐(물체에 걸림)
장비 정기 점검 강화 및 잠금장치 기능 확인 의무화.,"기계 숙련공 위주로 작업을 실시하고, 현장 내 기계공구 일체의 작동을 확인하여 불량 공구를 반출하며, 건설 안전 점검 기관에 의뢰하여 현장 안전 점검을 실시하는 조치.",절단기계의 작동 잠금장치 불량상태에서 전원을 공급하는 순간 기계가 작동하면서 사고 발생,"절단, 베임"
"재발 방지를 위해 작업 전 안전 교육 강화 및 굴착기 작업 시 안전 거리 확보 지침 마련 후, 정기적인 안전 점검 실시와 함께 작업자 안전 의식 제고를 위한 추가 교육 실시 계획 수립.","작업자 및 장비운전자의 안전 교육과 굴착기 작업 시 작업 반경 내 인부 출입 금지 조치, 작업환경 정비 및 작업자 안전 교육 철저.",소나무 이식 작업장에서  굴취한 소나무를 이식하기 위하여 소형 굴착기를 사용하여 나무 이식을 위해 되 메우기 작업을 하던 중 작업을 도우던  재해자의  발이 구덩이로 미끄러지면서  작업중이던 굴착기 버킷에 오른쪽 새끼 발가락이 찍힌 사고 임,끼임
"시공사는 수직재 설치 시 변형 여부를 철저히 점검하고, 안전 교육 강화를 통해 작업자들에게 변형된 수직재의 위험성을 인지시키며, 감리사의 지속적인 현장 점검을 통해 위반 사항을 신속히 시정하도록 할 계획입니다. 또한, 향후 유사 사고 예방을 위해 안전 관리 시스템을 개선하고 정기적인 안전 점검을 실시할 예정입니다.","현장 관리감독의 철저함과 근로자의 작업숙달, 관리감독자 및 작업지휘자의 관리철저, 개인보호구 착용의 철저함이 요구됨.",시스템비계 설치공사 중 수직재 변형이 있어 꽂은상태로 힘을가하여 피려다가 꽂혀있던 수직재가 빠지면서 외국인 노동자가 추락함,떨어짐(3미터 이상 ~ 5미터 미만)
이동식틀비계 사용 시 안전 발판 설치 의무화 및 작업자 안전 교육 강화.,안전사고에 대한 경각심을 높이기 위한 안전교육 강화.,거푸집 설치작업 지시 중 이동식틀비계 위로 올라가던 과정에서 발을 헛디뎌 추락,떨어짐(2미터 미만)
안전모 착용 의무화 및 담장 철거 시 안전담벽 설치 의무화. 향후 모든 철거 작업 시 안전 점검 강화 및 사전 위험 평가 실시 예정.,"해체계획서 검토 후 안전검토 필요 시 현장 확인 및 현장 책임자에게 내용 통지 후 계획서 추가 보완과 관리자에게 공사중지 요청 및 과태료 처분 사전 통지, 국토교통부와 경기도에 내용 통보.","단독주택 담장 부분 포크레인으로 철거작업 중 담장 잔해물이 무너져 내리며 근로자 매몰(근로자 안전모 미착용), 의정부성모병원으로 이송됐으나 사망 함.",깔림
안전장비 착용 강제화 및 망치 사용 시 주의사항 교육 강화.,"사용중인 망치 반경 내 손이 들어가지 않도록 수시로 교육하고, 개인부주의로 인한 사고를 예방하기 위해 현장을 점검하며, TBM을 통해 사고사례와 위험요인을 전파하는 교육 및 점검의 정기적 실시와 시공사 자체교육일지 및 전파내용 확인을 통한 재발 방지 대책의 이행.",망치질 작업 중 작업중이던 망치로 왼손 엄지손가락을 때림,물체에 맞음
자재 적재 시 무게중심 고려 교육 강화 및 적재 절차 표준화를 통해 재발 방지 대책을 마련합니다. 정기적인 안전 점검과 작업자 피드백 시스템 도입으로 지속적인 개선을 추구합니다.,협소한 장소에서 적정량의 자재 운반과 산재 처리 진행을 통한 재발 방지 대책.,자재의 무게중심을 고려하지 않은 채 자재 적재,물체에 맞음
"지면 상태 모니터링 강화와 미끄럼 방지 장치 설치 확대를 통해 예방하며, 정기적인 안전 점검과 작업자 교육을 실시합니다.",염화칼슘 집중 살포와 안전 대책 지시를 포함한 재발 방지 대책.,강설로 인한 지면의 미끄러움,넘어짐(미끄러짐)
작업 전 철저한 현장 점검과 간섭된 물질 제거 절차 준수 강화를 통한 재발 방지 대책과 정기적인 안전 교육 실시 계획 수립.,작업 전 간섭사항 파악 및 조치 후 작업 실시와 현장 점검 시 개선 사항 확인.,작업 전 작업과 간섭된 물질 제거 미실시,끼임
"서포트 고정 상태 점검 강화 및 작업 전 안전 점검 의무화, 향후에는 서포트 고정 장치 개선 및 작업자 안전 교육 강화 실시.","작업 중 공정상 완벽히 고정된 물체가 아닌 경우 항상 신경 쓰고 고정 상태를 확인하며, 작업 투입 전 위험 작업에 대한 관리 감독자의 점검을 추가 실시하는 조치.",고정해놓은 서포트가 공정철물에서 빠짐 옆의 다른 서포트를 수정작업하던 중 흔들림으로 인한 고정철물과 서포트의 탈락으로 넘어지며 작업자와 충돌함,물체에 맞음
작업자 안전 교육 강화 및 그라인더 사용 훈련 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.,작업자에게 건설공구 사용에 대한 안전교육 실시와 관련된 향후 조치 계획.,그라인더로 배관 가공중 발생 한 사항으로 조작 미숙으로 발생한,"절단, 베임"
안전 교육 강화 및 작업 절차 엄격히 준수하도록 관리 체계 개선.,건설현장 안전교육 및 현장안전관리 철저 시행과 병원 입원에 따른 안전교육 및 현장안전관리 철저.,합판자재 가공시 부주의,"절단, 베임"
"안전 교육 강화와 작업 공간의 안전 표시 설치를 통한 재발 방지 대책을 마련하고, 정기적인 안전 점검과 즉시 개선 조치를 향후 조치 계획으로 삼겠습니다.",안전 통로 확보 및 정리 정돈 실시.,정리 정돈을 하던 중 발이 걸려 넘어지면서 생김,넘어짐(기타)
안전장비 착용 의무화 및 작업 절차 엄격히 준수 교육 실시,작업팀 교육 실시와 TBM 시 사고 사례 전파를 통한 재발 방지 대책 마련.,못 제거 중 배척을 놓침,물체에 맞음
"작업자 안전 교육 강화 및 노화 관련 건강 검진 의무화, 작업 환경 개선 및 위험 요소에 대한 실시간 모니터링 시스템 도입.","근골격계 부담 감소를 위한 스트레칭 실시, 올바른 작업방법 교육 실시, 중량물 취급 시 2인1조 작업 시행.","재해자의 부주의, 노화로 인한 회전근개 손상",분류불능
안전 교육 강화와 함께 작업 전 안전 점검 절차 엄격히 준수하도록 관리 체계 개선.,안전사다리 작업에 따른 작업자 안전교육 강화 및 사다리를 이용한 고소작업 시 작업자 이동 및 사다리 올름 방법에 대한 안전교육 실시.,"고소작업시 안전사다리 사용 및 아웃트리거를 고정하고 작업을 시행 하였으나, 작업 위치 진입을 위한 사다리 진입 방향에 대한 부주의에 의한 미끄럼 사고",떨어짐(2미터 미만)
"현장 내 결빙 구간 사전 점검 강화와 염화칼슘 등 미끄럼 방지제 적극 사용을 통한 재발 방지 대책을 마련하고, 정기적인 안전 점검과 근로자 안전 교육을 강화할 계획입니다.","현장 내 결빙구간 제거 및 접근금지 조치 철저와 안전모, 안전화 등 개인보호구 착용 관리 철저.",주말간 내린 눈과 한파로 현장 내 결빙구간 발생,넘어짐(미끄러짐)
연료 주입 시 안전 절차 준수 강화 및 화기 사용 금지 구역 설정. 정기적인 안전 교육 실시와 위험 요소에 대한 인식 제고.,작업 시작 전 현장의 근로자 및 건설기계조종원에 대한 안전교육 철저 시행과 현장 관리 철저를 통한 재발 방지 대책 마련.,에어콤푸레샤에 연료(휘발유) 주입중 연료 넘침으로 자업자 바지 및 인근에 묻은 상태에서 유제통의 유제를 가열하기 위해 가스불로 유제통을 가열하던 중 바닥의 휘발유에 불이 옮겨붙었고 인근 작업자 바지에 뭍은 휘발유에 화기가 옮겨붙어 화상을 입은 재해가 발생,화상
"작업 현장 소음 수준 정기 모니터링 강화 및 필요시 저소음 장비 도입을 포함한 재발 방지 대책을 수립합니다. 향후 모든 질병 관련 사안은 즉시 협력사와 공유하고, 정기적인 건강 검진을 통해 근로자 건강을 관리하겠습니다.","배치전 건강진단 내실화, 간헐적 소음발생 구간 저감대책 수립 및 이행, 신규 근로자 배치전 건강진단 실시, 간헐적 소음발생 작업 관리 철저, 해당 작업자 귀마개 등 보호구 착용 철저, 소음 발생원 억제 및 저감 대책 강구.",당 현장 발병 원인의 것으로 확인이 불명확함ㆍ ’2*년 *월 당 현장 작업환경측정 결과 허용 기준치 이하 [소음_74dB(A)]에서 근로가 이루어졌으며 병원 진료사실을 협력사(LT삼보)에게도 통보한 사실 없음,질병
"안전망 설치 의무화 및 정기적인 안전 점검 강화를 통해 재발 방지 대책을 마련하고, 작업자들에게 안전 교육을 지속적으로 실시하여 주의를 환기시킵니다.",안전관리 철저를 통한 재발 방지 및 향후 조치 계획.,가공철근 떨어짐방지 조치 미흡으로 발생한 재해임,물체에 맞음
"현장 관리자 대상 안전 교육 강화 및 작업 전 지반 상태 점검 의무화, 작업자 간 의사소통 체계 개선 및 사전 협의 절차 마련.",덤프운전자의 안전교육 시행과 병원치료 및 차량수리에 대한 조치 계획.,사토작업 중 평탄작업중인 굴삭기 운전자의 의견을 무시하고 덤프트럭 운전자가 임의장소에 토사 적하작업 중 지반 평타작업 불량에 따라 덤프트럭의 전도사고 발생,기타
작업자 안전 교육 강화와 우마 안전 점검 절차 도입으로 재발 방지 대책 마련. 향후 모든 우마 사용 시 사전 점검 의무화 및 안전장비 착용 강제화.,우마 발끝막이판 설치를 통한 사고 재발 방지 대책.,작업자 부주의로 인해 도배작업 중 우마(도배사다리)에서 떨어짐.,떨어짐(2미터 미만)
안전 고글 착용 의무화 및 작업 전 바닥 점검 실시하여 이물질 제거.,"작업중단 재발 방지를 위한 안전교육 실시와 보안경 착용 후 작업 시행, 사고 부위 완쾌 시까지 병원 진료.",콘크리트 바닥에 못을 박다가 이물질이 튀어 눈에 들어감,기타
안전 교육 강화와 작업 절차 개선을 통해 부주의로 인한 넘어짐 사고 재발 방지 및 향후 철저한 안전 점검 실시 계획 수립.,작업자 안전교육 및 자업자 특별안전 교육 실시를 통한 재발 방지 대책 마련.,부주의,넘어짐(물체에 걸림)
"작업 중 강풍에 대비한 기상 모니터링 강화 및 작업 일시 중지 지침 마련. 장비 운용 시 안전 거리 확보 교육 실시와 함께, 고정 작업 중인 식물에 대한 추가적인 고정 장치 설치 의무화. 작업자 안전 교육 강화로 무의식적 행동 최소화 유도.",소나무 식재 시 충분한 인력 배치와 굴삭기 되메우기를 진행 전 작업구간 전체 통제 및 작업자 적정거리 확보.,"조경 식재 중 삽으로 일부 고정해두고 장비로 흙을 마저 채워넣기 전, 백호 장비 교체하는 사이에 강풍이 불어 소나무가 쓰러짐. 소나무 쓰러지는 도중 작업자가 무의식적으로 손을 가져다 대어 골정상을 입음",기타
"작업자 안전 교육 강화 및 개인 안전장비 착용 의무화, 정기적 위험성 평가 실시 및 안전 시설 개선.","작업전 안전 교육 실시와 작업자 안전장구류 착용 철저, 피해자에 대한 산재 처리 및 개인 보상 예정.",CCTV확인 시 12시 39분 경 작업자가 식생활관 뒤편 옹벽에서 이동 중 실족한것으로 추정됨,떨어짐(분류불능)
사고 예방을 위해 명확한 작업 지침서 제공 및 동료 간 실시간 소통 강화 교육 실시.,작업자 안전관리 교육 및 관리감독 철저에 대한 재발 방지 대책과 향후 조치 계획.,u형 플륨관을 동료 1명과 설치중 손가락 찜,끼임
"작업 시 안전장비 착용 의무화 및 핸드레일 고정 장치 설치로 흔들림 방지, 작업 중 안전 감독 강화 및 안전 교육 실시로 위험 인식 제고.",재발방지 교육을 통한 동일 및 유사 안전사고 재발 방지.,기계작업을 위해 이동 중 순간적인 바람으로 인해 맨바스켓이 흔들려 핸드레일과의 충돌을 막고자 손으로 핸드레일을 밀던 중 좌측 엄지 손가락이 핸드레일과 맨바스켓에 협착,끼임
작업자 대상 중량물 운반 안전 교육 강화 및 정기적인 스트레칭 프로그램 도입. 작업 전 근골격계 위험 평가 실시와 함께 사고 발생자에 대한 지속적인 건강 모니터링 및 재발 방지 교육 제공.,자재 운반 시 2인1조 및 자재 운반 수레 활용과 관련된 근로자 정기교육 진행.,중량물 반복 운반,기타
신호수와 장비 작업자 간의 명확한 소통 채널 구축 및 정기적인 안전 교육 강화를 통해 소통 부재 문제 해결.,작업 반경 내 신호수 및 기타 타 공정 작업자의 접근 금지와 장비 작업 시 좌우 반경 확인 후 작업 실시를 통한 안전 확보.,신호수와 장비작업자간의 소통부재 (장비 작업자의 부주의),부딪힘
근골격계 질환 예방을 위한 정기적인 스트레칭 및 작업자세 교육 강화. 작업 환경 개선 및 적절한 휴식 시간 보장. 개인 건강 모니터링 시스템 도입으로 조기 발견 및 관리 지원.,근로자 건강상태 체크 및 투입 적합성 확인과 안전교육 강화.,철근 관련일을 23년여 동안 진행 중 근골격계 관련 개인 질병(최종사업장),질병
정기적인 장비 점검 강화와 안전 통제 시스템 개선을 통해 결속 불량 방지 및 통제 미흡 해소.,자재 결속방법 전달 및 위험구역 통제 조치와 통제자 배치를 통한 작업 실시.,보온자재 결속 불량 및 하역구간 하부 근로자 통제 미흡,물체에 맞음
재발 방지 대책과 향후 조치 계획 수립.,"철골자재 정리 및 운반 작업 시 2인 1조로 작업하고, 바닥에 굄재를 놓고 그 위에 자재를 놓도록 지도 교육하는 방안.",,끼임
"작업자 안전 교육 강화 및 정확한 작업 절차 준수 강조를 통해 재발 방지 대책을 마련하고, 현장 감독 강화와 함께 정기적인 안전 점검 실시 계획 수립.",작업자 안전교육 실시 및 철저한 이행.,근로자가 형틀(벽체)해체 작업 중 망치질을 하는 과정에서 헛손질하여 발생,기타
"안전 가드레일 설치 의무화 및 정기적인 안전 점검 강화를 통해 개구부 추락 위험 최소화, 작업자 안전 교육 강화 실시.","위험작업 시 작업 시작 전 위험부위에 대한 충분한 인지와 작업 중 주의 상기를 위한 휴식시간 및 위험성 주지, 안전난간대 설치, 안전교육 및 현장 수시 점검을 통한 안전시설물 확인 실시.",개구부 추락으로 인한 낙상사고,떨어짐(분류불능)
"강화된 강풍 대응 매뉴얼 교육과 함께, 작업 중 안전 거리 유지를 위한 모니터링 시스템 도입 및 정기적인 안전 점검 실시 계획 수립.","자재 인양 작업에 대한 관리 방안으로 작업자 외 전담신호수를 배치하고, 해당 공종에 대한 교육을 지속적으로 진행하며, 강풍 등 위험 상황 발생 시 자재 인양을 금지하는 조치를 포함한 계획.",블루폼 인양 작업 시 순간 발생 하는 강풍에 대한 인지 부족 및 인양 작업 시 충분한 거리두기가 이루어지지 않음으로 인한 사고,끼임
작업 중 개인 보호장구 착용 의무화 강화 및 예초기 작업 시 주변 환경 철저히 점검하는 조치 계획 수립.,작업자 및 관리자에 대한 철저한 관리 방안.,충주천 사면  예초작업 중 예초기 날에 부딪힌 돌이 튀어 오른쪽 정강이를 때려 골절됨,물체에 맞음
"공사 현장 내 차량 통행 제한 구역 설정 및 경비원 교육 강화로 사고 예방, 향후 안전 점검 강화 및 정기적인 안전 교육 실시 예정.",안전교육 및 신호수 배치를 통한 재발 방지 대책.,공사장 경비원과 외부 이삿짐 작업차량(포터)간 공사장 외부에서 차량사고,교통사고
안전덮개 사용 시 작업자 교육 강화 및 안전장비 점검 의무화,아침조회 시 사고사례 전파 및 특별안전 교육 실시.,각도절단기로 각재 절단작업 중 안전덮개를 손가락으로 임의로 올리다가 부주의로 베임,"절단, 베임"
"작업자 교육 강화로 프레타이와 철근의 구분 중요성 강조 및 안전장비 착용 의무화를 통해 재발 방지 대책을 마련하고, 사고 발생 시 즉시 작업 중단 및 안전점검 실시 후 개선 조치를 취할 계획입니다.",특별안전교육 실시를 통한 작업자의 단순과실 방지 및 동종 사고 예방.,기 설치되어있던 거푸집 프레타이를 인지하였음에도 불구하고 반복되는 철근 결속작업중 철근과 유사하고 쉽게 구분하기 어려운 프레타이에 오른쪽 눈을 찔리는 사고 발생(외관상 징후 없음).,찔림
안전 교육 강화 및 작업 절차 재검토를 통한 재발 방지 대책 수립.,근골격계 질환에 대한 교육 시행과 유사사고 재발 시 재발 방지 대책 수립.,격자지보 연결 볼트 체결 중 오른팔에 무리한 힘 작용,기타
