predicted_answer,actual_answer
비계 안정성 점검 강화 및 정기적인 안전 교육 실시를 통한 재발 방지 대책 및 향후 조치 계획.,"현장 관리감독의 철저함과 근로자의 작업숙달, 관리감독자 및 작업지휘자의 관리철저, 개인보호구 착용의 철저함이 요구됨."
"안전 교육 강화와 정기적인 안전 점검 실시로 재발 방지 대책을 마련하고, 향후 모든 높은 곳 작업 시 안전 발판 및 안전 끈 사용을 의무화합니다.",안전사고에 대한 경각심을 높이기 위한 안전교육 강화.
안전모 착용 의무화 및 작업 전 지반 안정성 철저 점검 실시 예정.,"해체계획서 검토 후 안전검토 필요 시 현장 확인 및 현장 책임자에게 내용 통지 후 계획서 추가 보완과 관리자에게 공사중지 요청 및 과태료 처분 사전 통지, 국토교통부와 경기도에 내용 통보."
"안전 교육 강화와 개인 보호 장비 착용 의무화를 통해 재발 방지하고, 즉시 안전 점검 및 작업 절차 재검토를 실시합니다.","사용중인 망치 반경 내 손이 들어가지 않도록 수시로 교육하고, 개인부주의로 인한 사고를 예방하기 위해 현장을 점검하며, TBM을 통해 사고사례와 위험요인을 전파하는 교육 및 점검의 정기적 실시와 시공사 자체교육일지 및 전파내용 확인을 통한 재발 방지 대책의 이행."
자재 적재 시 무게중심 고려 교육 강화 및 적재 절차 표준화 지침 마련.,협소한 장소에서 적정량의 자재 운반과 산재 처리 진행을 통한 재발 방지 대책.
"작업 시 미끄럼 방지 매트 설치 및 정기적인 지면 상태 점검 강화를 통해 재발 방지 대책을 마련하고, 기상 예보 연동 실시간 안전 관리 시스템 도입을 향후 조치 계획으로 삼습니다.",염화칼슘 집중 살포와 안전 대책 지시를 포함한 재발 방지 대책.
작업 전 철저한 현장 점검 강화 및 관련 교육 의무화 예정.,작업 전 간섭사항 파악 및 조치 후 작업 실시와 현장 점검 시 개선 사항 확인.
서포트 고정 상태 점검 강화 및 작업 전 안전 점검 의무화,"작업 중 공정상 완벽히 고정된 물체가 아닌 경우 항상 신경 쓰고 고정 상태를 확인하며, 작업 투입 전 위험 작업에 대한 관리 감독자의 점검을 추가 실시하는 조치."
그라인더 사용 시 조작 교육 강화 및 안전장비 착용 의무화,작업자에게 건설공구 사용에 대한 안전교육 실시와 관련된 향후 조치 계획.
작업자 안전 교육 강화 및 작업 절차 엄격히 준수하도록 관리 체계 개선.,건설현장 안전교육 및 현장안전관리 철저 시행과 병원 입원에 따른 안전교육 및 현장안전관리 철저.
작업 공간 안전 점검 강화 및 경고 표시 설치.,안전 통로 확보 및 정리 정돈 실시.
안전 교육 강화와 작업 절차 엄격히 준수하도록 하는 재발 방지 대책 및 향후 조치 계획 수립.,작업팀 교육 실시와 TBM 시 사고 사례 전파를 통한 재발 방지 대책 마련.
안전 교육 강화와 정기적인 건강 검진 실시를 통해 근로자의 부주의 감소 및 부상 예방에 초점을 맞춥니다. 작업 환경 개선과 함께 안전 장비 착용 의무화를 도입합니다.,"근골격계 부담 감소를 위한 스트레칭 실시, 올바른 작업방법 교육 실시, 중량물 취급 시 2인1조 작업 시행."
"안전 교육 강화와 함께 작업 전 안전 점검 절차 엄격히 시행하며, 작업 위치 진입 시 안전한 접근 경로 확보 및 아웃트리거 고정 상태 정기 점검 실시.",안전사다리 작업에 따른 작업자 안전교육 강화 및 사다리를 이용한 고소작업 시 작업자 이동 및 사다리 올름 방법에 대한 안전교육 실시.
향후 작업 시 현장 내 결빙 구간 즉시 제거 및 안전 매트 설치를 통해 미끄러짐 위험 최소화 계획 수립.,"현장 내 결빙구간 제거 및 접근금지 조치 철저와 안전모, 안전화 등 개인보호구 착용 관리 철저."
연료 주입 시 안전 절차 준수 강화 및 화재 예방 교육 실시.,작업 시작 전 현장의 근로자 및 건설기계조종원에 대한 안전교육 철저 시행과 현장 관리 철저를 통한 재발 방지 대책 마련.
작업 중 개인 건강 모니터링 강화 및 협력사와의 정보 공유 체계 구축.,"배치전 건강진단 내실화, 간헐적 소음발생 구간 저감대책 수립 및 이행, 신규 근로자 배치전 건강진단 실시, 간헐적 소음발생 작업 관리 철저, 해당 작업자 귀마개 등 보호구 착용 철저, 소음 발생원 억제 및 저감 대책 강구."
안전 교육 강화와 가공철근 떨어짐 방지 조치 체계 개선을 통한 재발 방지 대책 및 향후 조치 계획 수립.,안전관리 철저를 통한 재발 방지 및 향후 조치 계획.
"지반 상태 사전 점검 강화 및 작업자 간 소통 체계 구축을 통한 안전 지침 준수 의무화, 정기적 안전 교육 실시로 안전 의식 제고 및 사고 예방 시스템 개선.",덤프운전자의 안전교육 시행과 병원치료 및 차량수리에 대한 조치 계획.
"작업자 안전 교육 강화와 우마 사용 시 안전 절차 준수 의무화를 통해 재발 방지 대책을 마련하고, 정기적인 안전 점검과 안전 장비 사용 강제화를 향후 조치 계획으로 삼겠습니다.",우마 발끝막이판 설치를 통한 사고 재발 방지 대책.
"안전 교육 강화 및 개인 보호 장비 착용 의무화를 통해 이물질 튀는 사고를 예방하고, 즉시 의료 지원 체계를 구축하여 신속한 치료를 보장합니다.","작업중단 재발 방지를 위한 안전교육 실시와 보안경 착용 후 작업 시행, 사고 부위 완쾌 시까지 병원 진료."
안전 교육 강화와 주의사항 준수 점검을 통한 재발 방지 대책 및 향후 조치 계획 수립.,작업자 안전교육 및 자업자 특별안전 교육 실시를 통한 재발 방지 대책 마련.
작업 중 강풍에 대비한 안전 점검 강화 및 장비 운용 시 안전 거리 확보 지침 마련.,소나무 식재 시 충분한 인력 배치와 굴삭기 되메우기를 진행 전 작업구간 전체 통제 및 작업자 적정거리 확보.
"작업자 안전 교육 강화와 현장 안전 점검 시스템 개선을 통해 위험 요소 사전 식별 및 제거, 사고 조사 결과 바탕으로 안전 관리 절차 보완 및 관련 법규 준수 강화.","작업전 안전 교육 실시와 작업자 안전장구류 착용 철저, 피해자에 대한 산재 처리 및 개인 보상 예정."
안전장비 착용 의무화 및 정기적인 안전 교육 강화.,작업자 안전관리 교육 및 관리감독 철저에 대한 재발 방지 대책과 향후 조치 계획.
"안전장비 착용 강제화 및 고정장치 설치, 정기적인 안전 교육 실시, 작업 중 안전 모니터링 강화.",재발방지 교육을 통한 동일 및 유사 안전사고 재발 방지.
"작업자 대상 중량물 운반 안전 교육 강화 및 정기적인 스트레칭 프로그램 도입. 작업 전 근골격계 위험 평가 실시하고, 사고자 추적 관리 시스템 구축하여 지속적인 안전 모니터링 실시.",자재 운반 시 2인1조 및 자재 운반 수레 활용과 관련된 근로자 정기교육 진행.
신호수와 장비 작업자 간의 명확한 소통 채널 구축 및 정기적인 안전 교육 강화를 통해 부주의 사고 예방.,작업 반경 내 신호수 및 기타 타 공정 작업자의 접근 금지와 장비 작업 시 좌우 반경 확인 후 작업 실시를 통한 안전 확보.
"근골격계 질환 예방을 위한 정기적인 건강 검진과 작업 자세 교정 교육 강화를 실시하고, 작업 환경 개선 및 작업 부하 분산을 위한 향후 조치 계획을 수립합니다.",근로자 건강상태 체크 및 투입 적합성 확인과 안전교육 강화.
작업자 안전 교육 강화 및 결속 절차 엄격히 준수하도록 관리 강화,자재 결속방법 전달 및 위험구역 통제 조치와 통제자 배치를 통한 작업 실시.
안전장비 착용 강제화 및 정기적인 안전점검 실시를 통해 위험요소 사전 식별 및 개선 조치 강화.,"철골자재 정리 및 운반 작업 시 2인 1조로 작업하고, 바닥에 굄재를 놓고 그 위에 자재를 놓도록 지도 교육하는 방안."
안전 교육 강화 및 작업 절차 엄격히 준수하도록 관리 강화.,작업자 안전교육 실시 및 철저한 이행.
"개구부에 안전담벽 설치 및 정기적인 안전 점검 강화를 통해 재발 방지 대책을 마련하고, 작업자들에게 개구부 안전 수칙 교육을 실시하여 향후 유사 사고 예방에 주력합니다.","위험작업 시 작업 시작 전 위험부위에 대한 충분한 인지와 작업 중 주의 상기를 위한 휴식시간 및 위험성 주지, 안전난간대 설치, 안전교육 및 현장 수시 점검을 통한 안전시설물 확인 실시."
"작업 전 강풍 예보 확인 및 대응 계획 수립, 안전 거리 확보를 위한 작업 절차 강화 및 정기적인 안전 교육 실시.","자재 인양 작업에 대한 관리 방안으로 작업자 외 전담신호수를 배치하고, 해당 공종에 대한 교육을 지속적으로 진행하며, 강풍 등 위험 상황 발생 시 자재 인양을 금지하는 조치를 포함한 계획."
"예초작업 시 보호장구 착용 의무화 강화와 작업 전 위험 요소 점검 절차 도입, 정기적인 안전 교육 실시 계획 수립.",작업자 및 관리자에 대한 철저한 관리 방안.
현장 내 교통 안전 지침 강화 및 정기적인 안전 교육 실시.,안전교육 및 신호수 배치를 통한 재발 방지 대책.
안전덮개 사용 시 작업자 교육 강화 및 안전덮개 고정 장치 설치 의무화.,아침조회 시 사고사례 전파 및 특별안전 교육 실시.
"재발 방지를 위해 작업자들에게 프레타이와 철근의 구별 중요성을 강조하는 정기적인 안전 교육 실시와 함께, 작업 현장에 시각적 구분 표시를 설치합니다. 향후 조치로는 사고 발생 시 즉시 작업 중단 및 현장 조사를 실시하고, 관련 안전 지침을 업데이트하여 모든 작업자에게 공유합니다.",특별안전교육 실시를 통한 작업자의 단순과실 방지 및 동종 사고 예방.
안전장비 착용 강화 및 근력 강화 교육 실시로 작업자의 신체 부담 최소화.,근골격계 질환에 대한 교육 시행과 유사사고 재발 시 재발 방지 대책 수립.
안전 교육 강화 및 2인1조 작업 원칙 엄격히 준수하도록 조치 계획 수립.,작업자 안전관리 철저에 대한 재발 방지 대책과 향후 조치 계획.
"강화된 개인 보호장구 착용 의무화와 정기적인 안전 교육 실시를 통해 부주의를 최소화하고, 작업 환경 개선을 병행하여 사고 예방에 나설 계획입니다.","작업자 특별안전교육 및 철근 절단기 안전가림막 설치를 통한 재발 방지 대책과 작업자 특별안전조치 후 작업 시행 및 설비 안전조치 예정, 재해자 건강상태 수시 확인, 산업재해조사표 제출(시공사)으로 구성된 향후 조치 계획."
간이화장실 주변 안전 매트 설치 및 정기적인 점검 강화,안전교육 및 안전작업 지시와 공사현장 주변 위험요소 안전조치 및 지속적 모니터링 통지.
안전장구 착용 의무화 강화와 함께 안전 교육 프로그램 정기적으로 실시하여 안전 의식 제고.,띠상 상부 출입금지 및 부득이 출입 시 안전로프에 안전걸이 착용 철저와 안전관리 철저 행정지도 시행.
작업자들에게 안전한 자세와 행동 지침 교육 강화 및 정기적인 안전 점검 실시 계획 수립.,쇠지랫대 후면부 보호캡 제작 및 부착과 작업 투입 전 특별교육 실시 계획.
위험성 평가 강화 및 아웃트리거 사용 교육 실시를 통한 재발 방지 대책 마련.,"B/T비계 주차 위치 지정, 해당 구간 자재 적재 금지, 아웃트리거 회전 가능 설계 및 설치, 돌출부 보양 실시."
"사고 원인에 대한 교육 강화와 안전 점검을 엄격히 실시하며, 저수조 덮개는 안전한 재질로 교체하고 토사 제거 시 사전 승인 절차를 도입합니다. 정기적인 안전 점검과 근로자 안전 교육을 통해 재발 방지에 힘쓰겠습니다.",정화조 개구부 주철덮개 설치와 사고사례 전파 및 안전교육을 통한 재발 방지 대책 및 향후 조치 계획.
"안전교육 강화와 안전장비 착용 의무화를 통해 재발 방지 대책을 마련하고, 작업 전 안전 점검 절차를 엄격히 시행할 계획입니다.",현장 안전 조치 및 안전교육을 통한 재발 방지.
장비 안전 교육 강화 및 정기적인 안전 점검 실시.,기계장비 사용 시 사전 안전교육 실시 안내 및 현장지도.
"안전 교육 강화와 작업 전 안전 점검 의무화를 통해 근로자의 안전 의식 제고 및 불안전 행동 예방, 사고 재발 방지를 위한 정기적 안전 점검 실시 계획 수립.",해당 공종 근로자 교육 지도 및 작업 관리감독 강화 실시.
안전 교육 강화 및 현장 감독 체계 개선 실시.,현장 근로자 작업 시 안전의식 고취와 근로복지공단의 23. 9. 11. ~ 9. 25. 15일간 통원치료 완료에 따른 조치 계획.
안전 교육 강화 및 작업 절차 엄격히 준수하도록 관리 체계 개선.,작업순서 준수 절차 및 무리한 동작 예방 교육 실시.
비계 단차부위에 안전 표시 설치 및 정기적인 안전 점검 강화 실시.,"작업발판 사이 틈 제거와 단차부위 안전표지판 설치, 지상층 외부 비계 정리정돈, 단차부위 제거를 위한 작업발판 보강, 자재물 낙하 방지를 위한 쪽망 설치."
안전장비 착용 의무화 및 정기적인 안전 교육 실시를 통한 재발 방지 대책과 향후 조치 계획 수립.,감독자 관리 강화를 통한 향후 조치 계획.
"안전 교육 강화 및 안전 점검 절차 개선, 사고 원인 분석 후 안전 지침 업데이트 및 정기적 안전 점검 실시.","사고 발생 다음날 책임감리원의 안전교육 강화 및 안전점검 시행과 현장 안전교육 강화 및 사고사례 전파, 책임감리원의 현장 안전점검 철저 지시로 인한 재발 방지 대책 마련."
트레이 설치 시 배관과의 충분한 간격 확보 및 안전 손잡이 설치 의무화.,트레이를 당기는 작업 시 브라켓(Y형 타입의 장대)을 사용하여 기 설치된 배관과 이격하는 작업기준 수칙 준수 및 작업자 안전교육 실시.
"작업 전 철저한 안전 점검 실시 및 생명선 안전고리 체결 의무화, 작업자 대상 안전 교육 강화 및 정기적인 안전 의식 제고 프로그램 운영, 안전난간 및 생명선 상태 정기 점검 및 필요시 즉시 보수 조치, 위험 구간에 대한 추가 안전 장치 설치 검토 및 시행.","작업자들에게 더 명확한 안전 교육 실시와 감독 철저, 사고 대상자 퇴원까지 동향 파악 및 향후 감독 철저."
"충돌방지 센서 정기 점검 및 작동 확인 강화, 신호수 안전 교육 강화 및 안전구역 명확히 설정, 타워크레인 운전자에게 충돌 방지 교육 실시, 작업 전 안전 점검 절차 엄격히 준수하도록 관리 강화, 사고 경위 및 원인에 대한 심층 분석 실시 후 안전 지침서 개정 및 현장 전파, 부상자 치료 경과 지속 모니터링 및 안전 의식 제고 활동 실시.","충돌방지센서 교체, 무전기 지급, 안전교육 시행 및 현장 방문을 통한 사후 조치사항 확인으로 안전성 향상 계획."
"철근 배근 구간에 안전 방호망 설치하고, 작업 시 안전 감독자 배치하여 실시간 모니터링 강화.",T.B.M 활동 및 교육 철저에 대한 재발 방지 대책과 향후 조치 계획.
기초 철근 상부에 실족 방지망 설치 의무화 및 정기적인 안전 점검 실시로 재발 방지.,철근 상부 작업자 이동동선 실족방지망 설치와 산업재해 조사표 작성 및 산재 신청을 통한 재발 방지 대책 마련.
안전 교육 강화 및 철저한 되메우기 및 다짐 관리 절차 도입으로 재발 방지. 향후에는 정기적인 지반 상태 점검과 보강 조치를 실시할 계획입니다.,"되메우기 및 다짐 관리 철저와 작업 구간 사전 조사, 관리자 및 근로자 시공 관련 사전 교육 및 재발 방지 교육 실시."
"재발 방지를 위해 작업 전 자재 상태 점검 강화와 작업자 교육 실시를 통해 기운반 주의를 강조하며, 향후에는 사고조사 결과를 바탕으로 건설안전종합정보시스템에 등록하고, 정기적인 안전 점검 및 안전 장비 개선을 통해 안전성을 향상시킬 계획입니다.",작업자 안전교육 실시와 산업재해처리 및 병원처치의 통합적 실행.
"작업지휘자와 작업자 간 명확한 의사소통 체계 구축 및 안전 교육 강화를 통해 작업 순서 숙지를 제고하고, 미끄러짐 방지를 위한 안전장비 사용 의무화 및 현장 안전 점검 강화 실시.","거푸집 조립 및 장비작업 진행 시 작업계획서의 철저한 관리와 공정 안전반장 및 작업지휘자의 작업내용 숙지, 팀원 교육의 철저함이 요구되는 재발 방지 대책과 향후 조치 계획."
작업발판 설치 지침 강화 및 정기 점검 실시.,안전난간 설치와 가설발판 및 안전난간 설치 점검작업자 안전교육을 포함한 재발 방지 대책.
근로자 시야 확보를 위한 안전 교육 강화 및 작업 환경 개선 조치 계획 수립.,가설발판 폭 연장과 근로자 이동시 불안전한 행동에 대한 교육 실시.
안전 교육 강화 및 안전 장비 사용 의무화를 통해 안전 의식 제고.,안전교육 실시 및 현장 안전교육과 관리 계획.
"안전고리 체결 시 최하사점 높이 확보를 위한 작업대 설치 의무화 및 정기적인 안전 점검 강화를 포함한 안전 교육 실시, 안전 감독자의 현장 감독 강화 및 위반 시 즉각적 제재 조치 마련.","고소작업 시 그네식 안전벨트 착용 및 생명줄 선 설치, TBM 실시 시 위험작업에 대한 가상교육을 통한 사전위험 숙지 및 제거, 위험공정 전 교육 실시."
안전 교육 강화와 함께 작업 시 안전 발판 설치 의무화 및 유로폼 해체 시 안전한 작업 절차 준수 점검 실시.,안전교육 및 불안전한 작업자 교육 실시와 산재처리 후 요양중인 상황.
안전교육 강화와 함께 작업 중 보안경 착용 의무화 및 휴식 시에도 보호장구 착용을 강제함으로써 재발 방지 대책을 마련합니다. 향후에는 실시간 안전 감독 시스템 도입을 검토합니다.,근로자 보안경 착용 철저 지시 및 현장지도 실시.
"거치작업 시 정확한 거리 측정 도구 사용 의무화와 함께, 작업 전 시뮬레이션을 통한 배관 배치 계획 검토 강화.","파이프렉에 배관을 지지할 수 있는 전용틀 제작과 배관 이동, 안전 교육 철저."
"지지대 부족으로 인한 비계 전도 위험을 방지하기 위해 모든 비계 설치 시 풍하중을 고려한 적절한 지지대 설치를 의무화하고, 풍향 및 풍속 모니터링 시스템 도입으로 실시간 위험 평가 실시. 또한, 작업 전 안전 점검 강화와 함께 작업자 교육을 통해 비계 안정성 유지의 중요성을 인지시키고, 필요시 작업 중단 지침 마련.",비계보강 조치와 중부지방고용노동청에 전달된 안전관리 지시 사항.
안전 교육 강화 및 작업 절차 엄격히 준수하도록 관리,안전관리에 철저를 기하는 재발 방지 대책과 향후 조치 계획.
작업자 안전 교육 강화와 작업 공간 안전 확보를 위한 우마 고정 장치 설치 의무화.,"우마 단부 추락방지용 소음발생기 설치 상태 확인 및 소리 확인, 근로자들의 안전작업 준수 교육과 작업 전 준비운동 실시의 철저함."
"추락 위험 지역에 안전대걸이 설치하고, 작업 전 슬라브 거푸집 상태 점검 의무화하며, 작업 지시 시 안전 지침 명확히 전달하는 계획 수립.",불안전한 행동 통제 및 올바른 작업 순서에 대한 교육 강화와 관리 감독자 및 작업 지휘자 통제 강화를 통한 현장 안전 재발 방지 집중 관리.
작업 전 지표면 상태 점검 강화 및 방수 매트 설치 의무화. 정기적인 안전 교육 실시로 미끄러짐 위험 인지 제고.,작업 전 안전교육 실시 및 전담 신호수 배치 등 철저한 재발 방지 대책과 향후 조치 계획.
안전난간대 사용 교육 강화 및 방화문 모서리 보호 장치 설치 의무화.,말비계 승하강시의 방법에 대한 당사 지침 등 안전교육 실시와 재발방지대책 계획서 제출 요청.
